4 lis 2024,Depositing savings,,"38,88 PLN","64 442,64 PLN"
4 lis 2024,Withdrawing savings,10 PLN,,"64 432,64 PLN"
5 lis 2024,Interest earned,,"6,82 PLN","64 439,46 PLN"
6 lis 2024,Interest earned,,"7,04 PLN","64 446,50 PLN"
6 lis 2024,Depositing savings,,"28 352,32 PLN","92 798,82 PLN"
6 lis 2024,Depositing savings,,"0,34 PLN","92 799,16 PLN"
7 lis 2024,Interest earned,,"7,05 PLN","92 806,21 PLN"
8 lis 2024,Interest earned,,"10,14 PLN","92 816,35 PLN"
9 lis 2024,Interest earned,,"10,14 PLN","92 826,49 PLN"
9 lis 2024,Depositing savings,,"41,22 PLN","92 867,71 PLN"
9 lis 2024,Depositing savings,,"3,42 PLN","92 871,13 PLN"
9 lis 2024,Depositing savings,,11 PLN,"92 882,13 PLN"
10 lis 2024,Interest earned,,"10,15 PLN","92 892,28 PLN"
11 lis 2024,Interest earned,,"10,15 PLN","92 902,43 PLN"
11 lis 2024,Depositing savings,,79 PLN,"92 981,43 PLN"
12 lis 2024,Interest earned,,"10,14 PLN","92 991,57 PLN"
12 lis 2024,Depositing savings,,9 960 PLN,"102 951,57 PLN"
13 lis 2024,Interest earned,,"10,17 PLN","102 961,74 PLN"
14 lis 2024,Interest earned,,"11,25 PLN","102 972,99 PLN"
15 lis 2024,Interest earned,,"11,25 PLN","102 984,24 PLN"
16 lis 2024,Interest earned,,"11,26 PLN","102 995,50 PLN"
17 lis 2024,Interest earned,,"11,25 PLN","103 006,75 PLN"
18 lis 2024,Interest earned,,"11,26 PLN","103 018,01 PLN"
18 lis 2024,Depositing savings,,"771,89 PLN","103 789,90 PLN"
19 lis 2024,Interest earned,,"11,26 PLN","103 801,16 PLN"
20 lis 2024,Interest earned,,"11,34 PLN","103 812,50 PLN"
20 lis 2024,Depositing savings,,"23 285,09 PLN","127 097,59 PLN"
21 lis 2024,Interest earned,,"13,89 PLN","127 111,48 PLN"
21 lis 2024,Withdrawing savings,300 PLN,,"126 811,48 PLN"
21 lis 2024,Depositing savings,,270 PLN,"127 081,48 PLN"
21 lis 2024,Withdrawing savings,100 PLN,,"126 981,48 PLN"
21 lis 2024,Withdrawing savings,70 PLN,,"126 911,48 PLN"
22 lis 2024,Interest earned,,"13,90 PLN","126 925,38 PLN"
23 lis 2024,Interest earned,,"13,87 PLN","126 939,25 PLN"
23 lis 2024,Withdrawing savings,100 PLN,,"126 839,25 PLN"
24 lis 2024,Interest earned,,"13,87 PLN","126 853,12 PLN"
24 lis 2024,Withdrawing savings,221 PLN,,"126 632,12 PLN"
24 lis 2024,Withdrawing savings,100 PLN,,"126 532,12 PLN"
24 lis 2024,Depositing savings,,84 PLN,"126 616,12 PLN"
25 lis 2024,Interest earned,,"13,88 PLN",126 630 PLN
26 lis 2024,Interest earned,,"13,84 PLN","126 643,84 PLN"
26 lis 2024,Withdrawing savings,100 PLN,,"126 543,84 PLN"
26 lis 2024,Depositing savings,,"16 344,73 PLN","142 888,57 PLN"
27 lis 2024,Interest earned,,"13,83 PLN","142 902,40 PLN"
27 lis 2024,Withdrawing savings,142 902 PLN,,"0,40 PLN"
27 lis 2024,Depositing savings,,"705,91 PLN","706,31 PLN"
29 lis 2024,Interest earned,,"0,07 PLN","706,38 PLN"
29 lis 2024,Depositing savings,,"777,18 PLN","1 483,56 PLN"
30 lis 2024,Interest earned,,"0,08 PLN","1 483,64 PLN"
30 lis 2024,Withdrawing savings,200 PLN,,"1 283,64 PLN"
30 lis 2024,Depositing savings,,52 PLN,"1 335,64 PLN"
30 lis 2024,Withdrawing savings,310 PLN,,"1 025,64 PLN"
30 lis 2024,Depositing savings,,310 PLN,"1 335,64 PLN"
30 lis 2024,Withdrawing savings,360 PLN,,"975,64 PLN"
30 lis 2024,Depositing savings,,"4,50 PLN","980,14 PLN"
30 lis 2024,Depositing savings,,100 PLN,"1 080,14 PLN"
30 lis 2024,Depositing savings,,"0,01 PLN","1 080,15 PLN"
1 gru 2024,Interest earned,,"0,08 PLN","1 080,23 PLN"
1 gru 2024,Withdrawing savings,"391,12 PLN",,"689,11 PLN"
1 gru 2024,Withdrawing savings,200 PLN,,"489,11 PLN"
1 gru 2024,Depositing savings,,60 PLN,"549,11 PLN"
2 gru 2024,Interest earned,,"0,07 PLN","549,18 PLN"
2 gru 2024,Withdrawing savings,4 PLN,,"545,18 PLN"
2 gru 2024,Depositing savings,,"0,82 PLN",546 PLN
2 gru 2024,Depositing savings,,2 000 PLN,2 546 PLN
3 gru 2024,Interest earned,,"0,08 PLN","2 546,08 PLN"
3 gru 2024,Withdrawing savings,22 PLN,,"2 524,08 PLN"
4 gru 2024,Interest earned,,"0,28 PLN","2 524,36 PLN"
4 gru 2024,Depositing savings,,22 PLN,"2 546,36 PLN"
5 gru 2024,Interest earned,,"0,28 PLN","2 546,64 PLN"
5 gru 2024,Withdrawing savings,"115,21 PLN",,"2 431,43 PLN"
6 gru 2024,Interest earned,,"0,28 PLN","2 431,71 PLN"
6 gru 2024,Depositing savings,,"767,70 PLN","3 199,41 PLN"
7 gru 2024,Interest earned,,"0,26 PLN","3 199,67 PLN"
8 gru 2024,Interest earned,,"0,27 PLN","3 199,94 PLN"
9 gru 2024,Interest earned,,"0,26 PLN","3 200,20 PLN"
10 gru 2024,Interest earned,,"0,35 PLN","3 200,55 PLN"
11 gru 2024,Interest earned,,"0,35 PLN","3 200,90 PLN"
12 gru 2024,Interest earned,,"0,35 PLN","3 201,25 PLN"
13 gru 2024,Interest earned,,"0,35 PLN","3 201,60 PLN"
14 gru 2024,Interest earned,,"0,35 PLN","3 201,95 PLN"
15 gru 2024,Interest earned,,"0,35 PLN","3 202,30 PLN"
15 gru 2024,Withdrawing savings,20 PLN,,"3 182,30 PLN"
16 gru 2024,Interest earned,,"0,35 PLN","3 182,65 PLN"
17 gru 2024,Interest earned,,"0,35 PLN",3 183 PLN
17 gru 2024,Depositing savings,,"763,26 PLN","3 946,26 PLN"
18 gru 2024,Interest earned,,"0,35 PLN","3 946,61 PLN"
19 gru 2024,Interest earned,,"0,43 PLN","3 947,04 PLN"
19 gru 2024,Withdrawing savings,100 PLN,,"3 847,04 PLN"
19 gru 2024,Depositing savings,,107 PLN,"3 954,04 PLN"
20 gru 2024,Interest earned,,"0,43 PLN","3 954,47 PLN"
21 gru 2024,Interest earned,,"0,43 PLN","3 954,90 PLN"
22 gru 2024,Interest earned,,"0,44 PLN","3 955,34 PLN"
22 gru 2024,Withdrawing savings,49 PLN,,"3 906,34 PLN"
22 gru 2024,Withdrawing savings,260 PLN,,"3 646,34 PLN"
22 gru 2024,Withdrawing savings,75 PLN,,"3 571,34 PLN"
22 gru 2024,Depositing savings,,"1,25 PLN","3 572,59 PLN"
23 gru 2024,Interest earned,,"0,43 PLN","3 573,02 PLN"
23 gru 2024,Depositing savings,,100 PLN,"3 673,02 PLN"
23 gru 2024,Depositing savings,,"65,42 PLN","3 738,44 PLN"
23 gru 2024,Depositing savings,,206 PLN,"3 944,44 PLN"
24 gru 2024,Interest earned,,"0,39 PLN","3 944,83 PLN"
25 gru 2024,Interest earned,,"0,43 PLN","3 945,26 PLN"
25 gru 2024,Withdrawing savings,"3,99 PLN",,"3 941,27 PLN"
26 gru 2024,Interest earned,,"0,43 PLN","3 941,70 PLN"
27 gru 2024,Interest earned,,"0,43 PLN","3 942,13 PLN"
28 gru 2024,Interest earned,,"0,43 PLN","3 942,56 PLN"
29 gru 2024,Interest earned,,"0,43 PLN","3 942,99 PLN"
29 gru 2024,Withdrawing savings,20 PLN,,"3 922,99 PLN"
30 gru 2024,Interest earned,,"0,43 PLN","3 923,42 PLN"
30 gru 2024,Withdrawing savings,11 PLN,,"3 912,42 PLN"
30 gru 2024,Withdrawing savings,20 PLN,,"3 892,42 PLN"
30 gru 2024,Withdrawing savings,132 PLN,,"3 760,42 PLN"
30 gru 2024,Depositing savings,,"0,02 PLN","3 760,44 PLN"
31 gru 2024,Interest earned,,"0,43 PLN","3 760,87 PLN"
